company,industry,address,plz,region_prio,phone,email,website,doors_in_use,brand,year,photo_url,source_url,maps_link,source_type
Verkehrsbetriebe Karlsruhe GmbH (VBK),Öffentlicher Nahverkehr (Tram- und Busbetrieb),"Tullastraße 71, 76131 Karlsruhe",76131,Deutschland,+49 721 6107-0,info@vbk.karlsruhe.de,https://www.vbk.info,"39 Schnelllauftore in der neuen Bus-Wartungshalle (4.970 m², Rheinhafen): 30x EFA-SST-L Basic, 6x EFA-SST-L ECO, 3x EFA-SRT-L (Waschhalle mit Edelstahlkomponenten)",EFAFLEX EFA-SST / EFA-SRT,2026,https://www.baulinks.de/webplugin/2026/i/scaled/1148_x_0087-efaflex-01.jpg,https://www.baulinks.de/webplugin/2026/0087.php4,https://maps.google.com/?q=Tullastra%C3%9Fe%2071%2C%2076131%20Karlsruhe&t=k,Markenreferenz weitere Hersteller
Waschparadies Bunz,"Autowasch- und Fahrzeugpflegeanlagen (Standorte Füssen, Lindenberg, Wangen, Kaufbeuren)","Hiebelerstraße 30, 87629 Füssen",87629,Deutschland,+49 8381 92020,info@thomas-bunz.de,https://www.bunz-waschparadies.de,EFA-STT-S Schnelllauftore mit transparenten Acryl-Lamellen an Ein- und Ausfahrt der neuen Pflegehalle (über 600 Öffnungen/Tag),EFAFLEX EFA-STT-S,2026,https://www.baulinks.de/webplugin/2026/i/scaled/1148_x_0933-efaflex-01.jpg,https://www.baulinks.de/webplugin/2026/0933.php4,https://maps.google.com/?q=Hiebelerstra%C3%9Fe%2030%2C%2087629%20F%C3%BCssen&t=k,Markenreferenz weitere Hersteller
AUDI AG (Fahrzeugsicherheitszentrum Ingolstadt),Automobilhersteller / Fahrzeug-Crashtests,"Auto-Union-Straße 1, 85045 Ingolstadt",85045,Deutschland,+49 841 89-0,,https://www.audi.de,"22 Schnelllauftore im 33.000 m² Fahrzeugsicherheitszentrum: EFA-SST ÜS (Außentore, einbruchhemmend), EFA-SST-S Premium (Prüfkammern), 2x EFA-STT-S als verriegelte Logistikschleuse",EFAFLEX EFA-SST / EFA-STT,2023,https://www.baulinks.de/webplugin/2024/i/scaled/1148_x_1759-efaflex-01.jpg,https://www.baulinks.de/webplugin/2024/1759.php4,https://maps.google.com/?q=Auto-Union-Stra%C3%9Fe%201%2C%2085045%20Ingolstadt&t=k,Markenreferenz weitere Hersteller
Neher Systeme GmbH & Co. KG,"Hersteller von Insektenschutzsystemen (ca. 40.000 Elemente/Jahr, ~90 Mitarbeiter)","Wellendinger Straße 15, 78665 Frittlingen",78665,Deutschland,+49 7426 5282-0,info@neher.de,https://www.neher.de,"7 Schnelllauftore: 1x windstabiles EFA-SST-XL am 10 m breiten Lkw-Zugang des neuen Lagers (2023), 2 weitere Außentore, 4 Innentore als Klimazonen-Trennung, u.a. EFA-SRT Premium am Klimalager; Torsteuerung per Laserscanner EFA-Scan",EFAFLEX EFA-SST-XL / EFA-SRT,2023,,https://www.materialfluss.de/rampen-tore-ladebrucken/tore-schutz-vor-kaelte-und-laerm--neher-setzt-auf-efaflex-schnelllauftore.htm,https://maps.google.com/?q=Wellendinger%20Stra%C3%9Fe%2015%2C%2078665%20Frittlingen&t=k,Markenreferenz weitere Hersteller
Bau-Fritz GmbH & Co. KG (Baufritz),Ökologischer Holz-Fertighausbau (seit 1896),"Alpenweg 25, 87746 Erkheim",87746,Deutschland,+49 8336 9000-0,info@baufritz.de,https://www.baufritz.de,"11x Spacelite HT40 Hubtore mit lichtdurchlässigem, wärmedämmendem Glasfasermaterial und Echtglas in der neuen Holzbau-Halle (Baubeginn September 2024)",Butzbach Spacelite HT40,2025,,https://www.pressebox.de/pressemitteilung/butzbach-gmbh-industrietore/hubtor-trifft-holz/boxid/1216389,https://maps.google.com/?q=Alpenweg%2025%2C%2087746%20Erkheim&t=k,Markenreferenz weitere Hersteller
Motor-Nützel Vertriebs-GmbH (Automobil-Zentrum Hof),"Autohandelsgruppe (Audi, VW, Porsche, Skoda, VW Nutzfahrzeuge; 8 Standorte in Oberfranken)","Fuhrmannstraße 25, 95030 Hof",95030,Deutschland,+49 9281 7071-0,,https://www.motor-nuetzel.de,"Mehrere Spacelite HT40 Hubtore in speziell angepassten Varianten im Automobil-Zentrum Hof (55.000 m²: Showrooms, Werkstätten, Karosserie- und Lackzentrum, Reifenlogistik), davon 3 Tore in klassischem Glasfasermaterial Farbton Brillant",Butzbach Spacelite HT40,2016,,https://www.butzbach.com/referenzen/motor-nuetzel-de,https://maps.google.com/?q=Fuhrmannstra%C3%9Fe%2025%2C%2095030%20Hof&t=k,Markenreferenz weitere Hersteller
Rudolph Logistik Gruppe SE & Co. KG,Kontraktlogistik / Automobillogistik (Crossdocking-Center im GVZ Kassel),"Harzweg 10, 34225 Baunatal",34225,Deutschland,+49 561 4991-0,info@rudolph-log.com,https://www.rudolph-log.com,"26 Sektionaltore Modell 'Iso' (40-mm-Paneele, Alurahmensektionen, Polycarbonat-Hohlkammerscheiben, Schnelllaufantriebe, Feuerwehr-Notentriegelung) und 8 Überladebrücken in den 16.700 m² Umschlaghallen im GVZ Kassel (Errichtung durch Goldbeck, Montage durch Servicepartner Wollenhaupt, Kaufungen)",Alpha Deuren (Sektionaltor Modell Iso),2014,https://cdn1.vogel.de/unsafe/540x0/smart/images.vogel.de/vogelonline/bdb/1052000/1052039/original.jpg,https://www.mm-logistik.vogel.de/kontraktlogistiker-nutzt-tore-von-alpha-deuren-a-543272/,https://maps.google.com/?q=Harzweg%2010%2C%2034225%20Baunatal&t=k,Markenreferenz weitere Hersteller
SuperAlloy Manufaktur GmbH,"Hersteller von Leichtmetallfelgen für Premium-Automarken (u.a. Bentley, Mercedes-Benz, Ferrari)","Oberwiesachstraße 20, 72290 Loßburg",72290,Deutschland,,,https://www.superalloy.tw/en/sai-manufaktur/,3 XF-Überladebrücken mit Vorschublippe (X-Serie mit Rahmen) und WL-Plane-Torabdichtungen am integrierten Distributionszentrum der 8.000 m² Produktionsstätte in Loßburg-Betzweiler,"Stertil Dock Products (X-Serie XF Überladebrücken, WL Torabdichtungen)",,https://stertil-verladetechnik.de/assets/image-cache/img_0086.a0fd02c5.jpg,https://stertil-verladetechnik.de/projekte/lieferung-super-alloy-manufaktur-gmbh,https://maps.google.com/?q=Oberwiesachstra%C3%9Fe%2020%2C%2072290%20Lo%C3%9Fburg&t=k,Markenreferenz weitere Hersteller
F.W. Neukirch (GmbH & Co.) KG,"Logistikdienstleister (See- und Luftfracht, Lagerlogistik, Spezialverkehre)","Zum Panrepel 37, 28307 Bremen",28307,Deutschland,+49 421 4894-0,fwn@neukirch.de,https://www.neukirch.de,"13 Verladestellen an einem Bremer Logistikzentrum: hydraulische Überladebrücken (60 kN Tragkraft), Torabdichtungen und Industrietore in kompletter Stahl-Vorsatzrampenkonstruktion; Umbau der alten Betonaußenrampe zur wetterunabhängigen Innenrampe bei laufendem Betrieb","PROMStahl (hydraulische Überladebrücken, Torabdichtungen, Industrietore)",,https://www.industrial-production.de/upload_weka/nwo/001/768/12_Neukirch_Bremen_Bild_2_1768973.jpg,https://www.maschinenmarkt.vogel.de/qualitaets-und-serviceoffensive-an-der-rampe-a-385770/,https://maps.google.com/?q=Zum%20Panrepel%2037%2C%2028307%20Bremen&t=k,Markenreferenz weitere Hersteller
Flughafen Hannover-Langenhagen GmbH (Hannover Airport),"Flughafenbetreiber (Gepäckabfertigung in Terminals A, B, C)","Petzelstraße 84, 30855 Langenhagen",30855,Deutschland,+49 511 977-0,info@hannover-airport.de,https://www.hannover-airport.de,"20 Schnelllauftore zu den Gepäckumschlagräumen in den Terminals A, B und C; ausgestattet mit Induktionsschleifen und Infrarot-Torlichtgittern; Gepäckfahrzeuge durchfahren die Tore bis zu 5x pro 45-Minuten-Abfertigung",EFAFLEX (Schnelllauftore),,,https://www.materialfluss.de/rampen-tore-ladebrucken/eine-wichtige-schnittstelle-der-logistik-bilden-hallentore.htm,https://maps.google.com/?q=Petzelstra%C3%9Fe%2084%2C%2030855%20Langenhagen&t=k,Markenreferenz weitere Hersteller
Kuchenmeister GmbH,"Backwarenhersteller (Kuchen, Feingebäck, Stollen)","Coesterweg 31, 59494 Soest",59494,Deutschland,+49 2921 7808-0,info@kuchenmeister.de,https://kuchenmeister.de,"PROMStahl-Verladetechnik an den Verladestationen des Werks Soest (Referenzprojekt 2014; Typen/Stückzahlen im Referenzeintrag nicht beziffert, Fotos vorhanden)",PROMStahl GmbH – Verladetechnik (Überladebrücken/Verladestationen),2014,https://www.promstahl.de/files/img/Referenzen/Kuchenmeister%20Soest/2012318_2_Kuchenmeister_Soest.jpg,https://www.promstahl.de/references/dhl-fredericia-dk-kopie-c6124760,https://maps.google.com/?q=Coesterweg%2031%2C%2059494%20Soest&t=k,Markenreferenz weitere Hersteller
Krämer Pferdesport GmbH & Co. KG,Einzel- und Versandhandel für Reitsportbedarf (Zentrale/Zentrallager mit Mega Store),"4. Industriestraße 1 + 2, 68764 Hockenheim-Talhaus",68764,Rhein-Main/Rhein-Neckar,+49 180 6949400,info@kraemer.de,https://www.kraemer.de,"PROMStahl-Verladetechnik an der Firmenzentrale Hockenheim (Referenzprojekt 2015; mehrere Referenzfotos der Verladestationen, Stückzahlen nicht beziffert)",PROMStahl GmbH – Verladetechnik (Überladebrücken/Verladestationen),2015,https://www.promstahl.de/files/img/Referenzen/Kraemer%20Pferdesport%20Hockenheim/kraemer01.jpg,https://www.promstahl.de/references/kraemer-pferdesport-hockenheim-a8a4f2e2,https://maps.google.com/?q=4.%20Industriestra%C3%9Fe%201%20%2B%202%2C%2068764%20Hockenheim-Talhaus&t=k,Markenreferenz weitere Hersteller
"REWE digital GmbH (Food Fulfillment Center ""SCARLET One"", REWE Group)",Online-Lebensmittelhandel / E-Food-Fulfillment,"Scarletallee 6, 50735 Köln",50735,Deutschland,,,https://www.rewe-digital.com,38 Ausgangsrampen und 14 Eingangsrampen; komplett maßgeschneidertes Verladekonzept für die Online-Frischelogistik,PROMStahl GmbH – Verladetechnik (Rampen-/Verladekonzept),2018,,https://www.promstahl.de/beitrag/promstahl-verladekonzept-fuer-rewe-digital,https://maps.google.com/?q=Scarletallee%206%2C%2050735%20K%C3%B6ln&t=k,Markenreferenz weitere Hersteller
"Transgourmet Deutschland GmbH & Co. OHG, Standort Ulm (ehem. REWE Foodservice GmbH)",Lebensmittel-Großhandel / Foodservice-Logistik (20.000-m²-Lager mit über 10.000 Artikeln),"Eiselauer Weg 2, 89081 Ulm",89081,Deutschland,+49 731 18494-0,kontakt@transgourmet.de,https://www.transgourmet.de,43 Verladestationen mit PROMStahl-Verladeanlagen im Warenausgang (ca. 50 Lieferfahrzeuge pro Stunde gleichzeitig beladbar),PROMStahl GmbH – Verladeanlagen/Verladestationen,2011,https://www.promstahl.de/files/img/Referenzen/REWE%20Ulm/PROMStahl%20REWE%20Ulm.jpg,https://www.mm-logistik.vogel.de/rewe-foodservice-setzt-auf-verladeanlagen-von-promstahl-a-333713/,https://maps.google.com/?q=Eiselauer%20Weg%202%2C%2089081%20Ulm&t=k,Markenreferenz weitere Hersteller
"DSV Road GmbH, Niederlassung Aschaffenburg",Internationale Spedition und Logistikdienstleistungen (Crossdock-Terminal),"Römerstraße 22, 63741 Aschaffenburg",63741,Rhein-Main/Rhein-Neckar,+49 6021 863-0,info.aschaffenburg@de.dsv.com,https://www.dsv.com/de-de,"Lagerumbau Crossdock: 32 Verladehäuser mit 40-mm-Thermopaneelen, 12 in Betonfertigteile integrierte Überladebrücken, stationäre Stahl-Verladerampe (60 kN) und 44 flexible Planen-Torabdichtungen mit Dachabdeckung","PROMStahl GmbH – Verladehäuser, Überladebrücken, Torabdichtungen",2017,,https://www.promstahl.de/press-articles,https://maps.google.com/?q=R%C3%B6merstra%C3%9Fe%2022%2C%2063741%20Aschaffenburg&t=k,Markenreferenz weitere Hersteller
"DHL Freight GmbH, Frachtzentrum Hannover","Straßenfracht / Stückgut-Speditionsnetzwerk (DHL Group), Umschlagterminal mit über 80 Verladetoren","Münchner Straße 36, 30855 Langenhagen",30855,Deutschland,+49 511 27990-0,kundenservice.hannover@dhl.com,https://www.dhl.com/de-de/home/freight.html,84 Verladestationen mit Industrietoren im neuen DHL-Frachtzentrum Hannover-Langenhagen,PROMStahl GmbH – Verladetechnik und Industrietore,2019,,https://www.promstahl.de/fuer-journalisten,https://maps.google.com/?q=M%C3%BCnchner%20Stra%C3%9Fe%2036%2C%2030855%20Langenhagen&t=k,Markenreferenz weitere Hersteller
"METRO LOGISTICS Germany GmbH, Zentrallager Kirchheim","Handelslogistik (METRO Group) – Multi-User-Lebensmittellager mit fünf Temperaturzonen, ca. 49.000 m²","Rosengartenweg, 67281 Kirchheim an der Weinstraße",67281,Rhein-Main/Rhein-Neckar,+49 211 6886-0,info@metro-logistics.de,https://www.metro-logistics.de,"PROMStahl-Verladetechnik am METRO-Zentrallager Kirchheim (Standort mit 98 Verladetoren; PROMStahl-Anteil im Referenzeintrag nicht beziffert, Foto vorhanden)",PROMStahl GmbH – Verladetechnik (Überladebrücken/Verladestationen),2017,https://www.promstahl.de/files/img/Referenzen/METRO%20Zentrallage%20Kirchheim/Ixocon-Kirchheim-01.jpg,https://www.promstahl.de/references/metro-zentrallager-kirchheim-96,https://maps.google.com/?q=Rosengartenweg%2C%2067281%20Kirchheim%20an%20der%20Weinstra%C3%9Fe&t=k,Markenreferenz weitere Hersteller
"ALDI (Zentrallager Nortorf, ALDI Nord)",Lebensmitteldiscounter – Regionalgesellschaft/Zentrallager,"Timmasper Weg 28, 24589 Nortorf",24589,Deutschland,,,https://www.aldi-nord.de,"PROMStahl-Verladetechnik am Zentrallager Nortorf (Referenzprojekt 2014; Typen/Stückzahlen im Referenzeintrag nicht beziffert, Foto vorhanden)",PROMStahl GmbH – Verladetechnik (Überladebrücken/Verladestationen),2014,https://www.promstahl.de/files/img/Referenzen/ALDI%20Nortorf/2014839_2_ALDI_Nortorf.jpg,https://www.promstahl.de/references/aldi-nortorf-f207410d,https://maps.google.com/?q=Timmasper%20Weg%2028%2C%2024589%20Nortorf&t=k,Markenreferenz weitere Hersteller
Friedrich Lange GmbH,"Fachgroßhandel für Sanitär und Heizung (Norddeutschland, 14 Standorte, 28.000 Artikel)","Pascalstraße 17, 25451 Quickborn",25451,Deutschland,+49 4106 79999-0,info@friedrich-lange.de,https://friedrich-lange.de,ASSA ABLOY Überladebrücken und Sektionaltore im 2013 in Betrieb genommenen neuen Logistikzentrum Quickborn,ASSA ABLOY Entrance Systems – Industrietore & Verladesysteme,2013,https://gw-assets.assaabloy.com/is/image/assaabloy/friedich-lange-1-16-zu-9,https://www.assaabloyentrance.com/de/de/stories/customer-cases/friedrich-lange,https://maps.google.com/?q=Pascalstra%C3%9Fe%2017%2C%2025451%20Quickborn&t=k,Markenreferenz weitere Hersteller
OMNITRADE Handelsgesellschaft mbH,Import/Export und Großhandel von Nüssen und Trockenfrüchten,"Jacobsrade 86, 22962 Siek",22962,Deutschland,+49 4107 33300-0,info@omnitrade-hamburg.com,https://www.omnitrade-hamburg.com,"Verladestationen mit ASSA ABLOY DL6020T/DL6020STA Stepdock-Überladebrücken, dicht schließenden Sektionaltoren und Torabdichtungen (Neubau Produktion/Logistik, in Betrieb seit 2014)",ASSA ABLOY Entrance Systems – Verladetechnik (Stepdock) & Sektionaltore,2014,https://gw-assets.assaabloy.com/is/image/assaabloy/omnitrade-1-16-zu-9,https://www.assaabloyentrance.com/de/de/stories/customer-cases/omnitrade,https://maps.google.com/?q=Jacobsrade%2086%2C%2022962%20Siek&t=k,Markenreferenz weitere Hersteller
MJ-Gerüst GmbH,"Gerüsthersteller (Top-3 in Deutschland, Junior Unternehmensgruppe, ca. 400 Mitarbeiter)","Ziegelstraße 68, 58840 Plettenberg",58840,Deutschland,+49 2391 8105-350,info@mj-geruest.de,https://mj-geruest.de,115 ASSA ABLOY Torsysteme im Werk Plettenberg: Schnelllauftore ASSA ABLOY RR3000 (Außeneingänge) sowie Maschinenschutztore ASSA ABLOY RP300 und RP2000 (Schweißroboter-/Laserzellen); umfassende Servicevereinbarung,ASSA ABLOY Entrance Systems (ehem. Albany Door Systems) – Schnelllauf- & Maschinenschutztore,,https://gw-assets.assaabloy.com/is/image/assaabloy/AAES-COM-CASE-STUDIES-IMAGES-MJ_GERUST_16_9,https://www.assaabloyentrance.com/de/de/stories/customer-cases/produktion--mj-ger-st,https://maps.google.com/?q=Ziegelstra%C3%9Fe%2068%2C%2058840%20Plettenberg&t=k,Markenreferenz weitere Hersteller
"Milupa GmbH (Danone-Gruppe), Werk Fulda",Hersteller von Säuglings- und Kleinkindernahrung (Milchpulver),"Schleyerstraße 4, 36041 Fulda",36041,Deutschland,+49 661 929-0,,https://www.milupa.de,"3 Interlock-Schleusen ausgestattet mit Schnelllauf-Rolltoren Typ RR300 Food / Rapid Food (Edelstahl-Seitenteile, klarer PVC-Behang) zwischen Low-Care-Rohstofflager und High-Care-Produktion; ca. 150 Big Bags/Tag",ASSA ABLOY Entrance Systems – Schnelllauf-Rolltore RR300 Food,2011,https://gw-assets.assaabloy.com/is/image/assaabloy/milupa-1-16-zu-9,https://www.assaabloyentrance.com/de/de/stories/customer-cases/produktion--milupa,https://maps.google.com/?q=Schleyerstra%C3%9Fe%204%2C%2036041%20Fulda&t=k,Markenreferenz weitere Hersteller
Vishay Electronic GmbH,Halbleiter- und Elektronikbauelemente (Europasitz des US-Konzerns Vishay Intertechnology),"Geheimrat-Rosenthal-Straße 100, 95100 Selb",95100,Deutschland,+49 9287 71-0,,https://www.vishay.com,"Personen- und Materialschleusen mit reinraumtauglichen Schnelllauftoren (ASSA ABLOY RR300 Clean) und Reinraum-Schiebetüren inkl. Teleskop-Schiebetüranlage (ASSA ABLOY SL521), Interlock-Verriegelung, EN 14644-1; plus Servicevereinbarung",ASSA ABLOY Entrance Systems – Reinraumtore & Automatiktüren,,https://gw-assets.assaabloy.com/is/image/assaabloy/vishay-electronic-title-16-zu-9,https://www.assaabloyentrance.com/de/de/stories/customer-cases/produktion-vishay-electronic,https://maps.google.com/?q=Geheimrat-Rosenthal-Stra%C3%9Fe%20100%2C%2095100%20Selb&t=k,Markenreferenz weitere Hersteller
Feuerwehrtechnische Zentrale (FTZ) des Landkreises Peine,"Öffentlicher Dienst – Unterbringung, Prüfung und Wartung von Feuerwehrfahrzeugen und -geräten","Werner-Nordmeyer-Straße 19 A, 31226 Peine",31226,Deutschland,+49 5171 401-6285,,https://www.landkreis-peine.de,"Isolierte, zuverlässige ASSA ABLOY Sektionaltore für die Fahrzeughalle (Rettungsfahrzeuge rücken direkt aus) plus Servicevereinbarung mit garantierten Reaktionszeiten",ASSA ABLOY Entrance Systems – Sektionaltore,,https://gw-assets.assaabloy.com/is/image/assaabloy/feuerwehr-2-16-zu-1,https://www.assaabloyentrance.com/de/de/stories/customer-cases/feuerwehr-peine,https://maps.google.com/?q=Werner-Nordmeyer-Stra%C3%9Fe%2019%20A%2C%2031226%20Peine&t=k,Markenreferenz weitere Hersteller
Autohof Reimers GmbH,"Autohandel (VW-, VW-Nutzfahrzeuge-, Škoda-, Seat-, Cupra-Vertragshändler, Audi Service), 5 Standorte, ca. 250 Mitarbeiter","Stawedder 17-21, 25462 Rellingen",25462,Deutschland,+49 4101 4908-0,rellingen@autohof-reimers.de,https://autohof-reimers.de,Sektionaltore inkl. verglastem Rahmensprossentor ASSA ABLOY OH1042F als Haupteinfahrtstor zur Werkstatthalle sowie Schnelllauftore; Torservice-Pakete von ASSA ABLOY,ASSA ABLOY Entrance Systems – Sektionaltore & Schnelllauftore,,,https://www.assaabloyentrance.com/de/de/stories/customer-cases/handel--autohof-reimers,https://maps.google.com/?q=Stawedder%2017-21%2C%2025462%20Rellingen&t=k,Markenreferenz weitere Hersteller
"Schenker Deutschland AG (DB Schenker), Logistikzentrum Arnstadt","Spedition und Kontraktlogistik (Multi-User-Logistikterminal am Erfurter Kreuz, ca. 20.000 m²)","August-Broemel-Straße 2, 99310 Arnstadt",99310,Deutschland,+49 3628 663-444,,https://www.dbschenker.com,"28 hafa Loadhouse-Verladesysteme (davon 24 als Stufenversion mit vorgeneigten hafa Teledock-Überladebrücken und Planen-Torabdichtungen mit Rolltechnik), sensorgesteuerte Ampelanlage; insgesamt 46 Verladetore",hafa Verladetechnik (Crawford/ASSA ABLOY Entrance Systems Traditionsmarke),2004,,https://www.mm-logistik.vogel.de/verlade-und-dockingsysteme-anspruchsvolle-schnittstelle-zwischen-halle-und-lkw-a-194471/,https://maps.google.com/?q=August-Broemel-Stra%C3%9Fe%202%2C%2099310%20Arnstadt&t=k,Markenreferenz weitere Hersteller
DHL Group (Deutsche Post DHL),Paketdienst,"Opelring 1, 44803 Bochum",44803,Deutschland,,,https://group.dhl.com,"Mega-Paketzentrum (Inbetriebnahme 2019, ehem. Opel-Werksgelände), 337 Verladetore an der Sortierhalle laut Presse, bis 50.000 Pakete/Stunde",,2019,,https://www.paketda.de/dhl-paketzentrum-bochum.html,https://maps.google.com/?q=Opelring%201%2C%2044803%20Bochum&t=k,Logistikzentren Presse
DHL Group (Deutsche Post DHL),Paketdienst,"Rungedamm 37, 21035 Hamburg (Allermöhe)",21035,Deutschland,,,https://group.dhl.com,Erweiterung 2023: neue Sortierhalle (208 m lang) mit 110 Be- und Entladetoren laut DHL-Pressemitteilung; Gesamtstandort entsprechend größer,,2023,,https://group.dhl.com/de/presse/pressemitteilungen/2023/dhl-nimmt-erweiterung-des-paketzentrums-hamburg-offiziell-in-betrieb.html,https://maps.google.com/?q=Rungedamm%2037%2C%2021035%20Hamburg&t=k,Logistikzentren Presse
DPD Deutschland,Paketdienst,"Osterbönener Weg 2, 59077 Hamm (Inlogparc)",59077,Deutschland,,,https://www.dpd.com/de/de/,"Größtes DPD-Paketsortierzentrum Deutschlands (2019, 122.000 m² Grundstück, >50 Mio. Euro Invest), zahlreiche Verladetore, genaue Anzahl nicht veröffentlicht",,2019,,https://www.dpd.com/de/de/news/meilenstein-im-westfaelischen-hamm-groesstes-paketsortierzentrum-von-dpd-in-deutschland-nimmt-den-betrieb-auf/,https://maps.google.com/?q=Osterb%C3%B6nener%20Weg%202%2C%2059077%20Hamm&t=k,Logistikzentren Presse
DPD Deutschland,Paketdienst,"Carl-von-Linde-Straße 5, Gewerbepark Acht300, 86551 Aichach",86551,Deutschland,,,https://www.dpd.com/de/de/,"Neubau 2020 (45 Mio. Euro): vier Verladehallen und eine Entladehalle mit Rampentoren, Anzahl nicht veröffentlicht; bis 93.000 Pakete/Tag im Endausbau",,2020,,https://www.dpd.com/de/de/news/45-millionen-euro-fur-den-neuen-standort-paketsortierzentrum-in-aichach-bei-augsburg-nimmt-betrieb-auf/,https://maps.google.com/?q=Carl-von-Linde-Stra%C3%9Fe%205%2C%2086551%20Aichach&t=k,Logistikzentren Presse
DPD Deutschland,Paketdienst,"Von-Miller-Straße, Kaiserslautern (Gewerbegebiet Einsiedlerhof)",,Deutschland,,,https://www.dpd.com/de/de/,"Neubau, in Betrieb seit Januar 2026 (31.000 m² Grundstück, Cross-Belt-Sorter 5.500 Pakete/Std.), Verladetore vorhanden, Anzahl nicht veröffentlicht",,2026,,https://www.dpd.com/de/en/news/dpd-eroeffnet-neues-depot-in-kaiserslautern/,https://maps.google.com/?q=DPD%20Von-Miller-Stra%C3%9Fe%20Kaiserslautern&t=k,Logistikzentren Presse
GLS Germany (EuropeanEcoHub),Paketdienst,"Emscherbruchallee 16, 45356 Essen",45356,Deutschland,,,https://gls-group.eu,Neubau 2020 im Gewerbepark Econova: 160 Tore zum Be- und Entladen laut Stadt Essen; im Endausbau bis 210 Zustelltore geplant,,2020,,https://www.essen.de/meldungen/pressemeldung_1482374.de.html,https://maps.google.com/?q=Emscherbruchallee%2016%2C%2045356%20Essen&t=k,Logistikzentren Presse
GLS Germany,Paketdienst,"Drewitzer Straße 51, 14478 Potsdam",14478,Deutschland,,,https://gls-group.eu,"Neubau 2023 (Aurelis): 170 Tore für Lkw- und Transporter-Be-/Entladung laut Pressemitteilung, bis 250.000 Pakete/Tag",,2023,,https://newsroom.de.gls-group.com/news/aurelis--bergibt-paketverteilzentrum-in-potsdam-an-gls/s/bd0e0c9a-5163-4816-8ba1-04671981e227,https://maps.google.com/?q=Drewitzer%20Stra%C3%9Fe%2051%2C%2014478%20Potsdam&t=k,Logistikzentren Presse
Hermes Germany,Paketdienst,"Buchäckerring 18, 74906 Bad Rappenau",74906,Deutschland,,,https://www.hermesworld.com,"Logistik-Center Neubau 2017 (44 Mio. Euro, ca. 10.000 m² Halle): 116 Tore für Lkw und Transporter laut Hermes-Pressemitteilung",,2017,,https://newsroom.hermesworld.com/bad-rappenau-hermes-eroeffnet-neues-logistik-center-im-suedwesten-12488/,https://maps.google.com/?q=Buch%C3%A4ckerring%2018%2C%2074906%20Bad%20Rappenau&t=k,Logistikzentren Presse
Hermes Fulfilment / Hermes Einrichtungs Service,Möbel- und Großstücklogistik,"Scheidkamp 15, 32584 Löhne",32584,Deutschland,,,https://www.hermes-fulfilment.de/en/company/locations/loehne/,"Neubau 2016 (100.000 m² Hallenfläche, 90 Mio. Euro): 110 Verladetore plus 46 Wareneingangstore laut Presse",,2016,,https://www.verkehrsrundschau.de/nachrichten/lager-umschlag/hermes-eroeffnet-neues-logistikzentrum-in-loehne-2992208,https://maps.google.com/?q=Scheidkamp%2015%2C%2032584%20L%C3%B6hne&t=k,Logistikzentren Presse
"Dachser SE, Logistikzentrum Neumünster",Spedition / Stückgut- und Lebensmittellogistik,"Isarstraße 25, 24539 Neumünster",24539,Deutschland,04321 555 991 300,,https://www.dachser.de,"Neubau 2020 (17,4 Mio. Euro, 7.000 m² Halle, davon 2.000 m² gekühlt): 76 Andocktore laut Dachser-Pressemitteilung, digitales Rampenmanagement",,2020,,https://www.dachser.de/de/mediaroom/Dachser-nimmt-neuen-Standort-in-Neumuenster-ans-Netz-8397,https://maps.google.com/?q=Isarstra%C3%9Fe%2025%2C%2024539%20Neum%C3%BCnster&t=k,Logistikzentren Presse
"Dachser SE, Niederlassung Öhringen",Spedition / Stückgutlogistik,"Im Flürle 2, 74613 Öhringen",74613,Deutschland,07941 64680,dachser.oehringen@dachser.com,https://www.dachser.de/de/warehouse-oehringen,"Umschlaghalle 2020 um 3.500 m² und 38 Tore erweitert auf insgesamt 87 Tore laut Fachpresse (9,5 Mio. Euro Invest)",,2020,,https://transport-online.de/fachzeitung/fachartikel/unternehmen-dachser-groesseres-umschlaglager-25674.html,https://maps.google.com/?q=Im%20Fl%C3%BCrle%202%2C%2074613%20%C3%96hringen&t=k,Logistikzentren Presse
"DB Schenker, Geschäftsstelle Nürnberg-Hafen",Spedition / Landverkehr,"Bremer Straße 90, 90451 Nürnberg",90451,Deutschland,,,https://www.dbschenker.com/de-de/ueber-uns/db-schenker-in-deutschland/geschaeftsstellen-schenker-deutschland-ag/nuernberg,"Logistikzentrum im bayernhafen Nürnberg (2014): über 10.000 m² Umschlagfläche mit 139 Ladetoren laut Presse – Bestandsanlage, prime Retrofit-Kandidat",,2014,,https://www.lagerflaeche.de/rund-um-lagerflaeche/lagernews/lagernews-detail/article/db-schenker-logistics-eroeffnet-zukunftsbau-im-nuernberger-hafen.html,https://maps.google.com/?q=Bremer%20Stra%C3%9Fe%2090%2C%2090451%20N%C3%BCrnberg&t=k,Logistikzentren Presse
